timeCode,partnerCountryCode,Value,
2014,144,2880858600,939
2014,172,2455164300,939
2014,941,1721620300,939
2014,922,1554682800,939
2014,946,846867800,939
2014,134,781315000,939
2014,142,583768700,939
2014,138,432459000,939
2014,128,422429100,939
2014,112,380413300,939
2014,124,372221700,939
2014,111,336243200,939
2014,964,313997700,939
2014,132,267046800,939
2014,186,173999100,939
2014,924,173554500,939
2014,136,162459100,939
2014,184,150729500,939
2014,273,124248800,939
2014,926,85224100,939
2014,542,83896900,939
2014,935,65494800,939
2014,158,62965500,939
2014,146,61221100,939
2014,913,55369300,939
2014,156,54203200,939
2014,534,52688300,939
2014,456,49578900,939
2014,944,49541000,939
2014,122,48305100,939
2014,916,45536900,939
2014,936,45137900,939
2014,918,37923100,939
2014,178,32852000,939
2014,193,31159700,939
2014,223,27110300,939
2014,968,24891300,939
2014,686,22640200,939
2014,664,22300200,939
2014,423,21908800,939
2014,466,20181600,939
2014,927,18274400,939
2014,176,18236800,939
2014,532,17765000,939
2014,469,16575600,939
2014,181,15912200,939
2014,182,14312400,939
2014,436,13922100,939
2014,199,12439100,939
2014,961,10934600,939
2014,137,10157100,939
2014,174,9608200,939
2014,925,9417400,939
2014,582,8847900,939
2014,576,8518600,939
2014,612,7625000,939
2014,528,7557000,939
2014,548,6788100,939
2014,578,6706500,939
2014,921,6424600,939
2014,942,5928000,939
2014,912,5915600,939
2014,915,5419000,939
2014,446,5312100,939
2014,694,4881900,939
2014,268,4830700,939
2014,917,4729500,939
2014,439,4607700,939
2014,429,3600000,939
2014,228,3033100,939
2014,564,2712000,939
2014,928,2710800,939
2014,738,2636100,939
2014,638,2473400,939
2014,960,2395500,939
2014,449,2372500,939
2014,213,2282400,939
2014,313,1989600,939
2014,536,1788000,939
2014,443,1763800,939
2014,963,1531700,939
2014,724,1522600,939
2014,433,1383200,939
2014,512,1292700,939
2014,463,1167000,939
2014,566,1082100,939
2014,614,1041700,939
2014,622,1028300,939
2014,923,959400,939
2014,911,951700,939
2014,948,795700,939
2014,524,771100,939
2014,218,757100,939
2014,453,723500,939
2014,744,714800,939
2014,728,708000,939
2014,816,704800,939
2014,652,658500,939
2014,283,649000,939
2014,196,615500,939
2014,474,613700,939
2014,243,559800,939
2014,293,558000,939
2014,419,525800,939
2014,299,519900,939
2014,914,518200,939
2014,662,472000,939
2014,513,438900,939
2014,746,423800,939
2014,668,366000,939
2014,676,337900,939
2014,288,326700,939
2014,298,302500,939
2014,233,300200,939
2014,748,297900,939
2014,962,295500,939
2014,546,247200,939
2014,364,226900,939
2014,238,214100,939
2014,823,208200,939
2014,544,207500,939
2014,684,192900,939
2014,943,184500,939
2014,672,169800,939
2014,682,164100,939
2014,522,158400,939
2014,688,151800,939
2014,656,150900,939
2014,258,150700,939
2014,839,131000,939
2014,248,128000,939
2014,336,121700,939
2014,366,118500,939
2014,314,99300,939
2014,698,94400,939
2014,278,92100,939
2014,644,68500,939
2014,648,66100,939
2014,722,64300,939
2014,853,56600,939
2014,369,55800,939
2014,321,55500,939
2014,754,47500,939
2014,316,39300,939
2014,742,38300,939
2014,678,33300,939
2014,343,30500,939
2014,714,29200,939
2014,636,26200,939
2014,311,24100,939
2014,253,18800,939
2014,967,18300,939
2014,361,18100,939
2014,718,14200,939
2014,674,11700,939
2014,326,6100,939
2014,732,3800,939
2014,634,2200,939
2014,339,300,939
