timeCode,partnerCountryCode,Value,
2014,223,14143094058,213
2014,924,4780062202,213
2014,111,3857668893,213
2014,228,2650416676,213
2014,299,2008442450,213
2014,298,1907164471,213
2014,534,1831929133,213
2014,138,1799210545,213
2014,156,1760644181,213
2014,612,1677609681,213
2014,288,1643707023,213
2014,582,1557009864,213
2014,184,1498206727,213
2014,134,1447660000,213
2014,536,1332113787,213
2014,293,1253193299,213
2014,548,1172494142,213
2014,456,1096598416,213
2014,136,1057200000,213
2014,273,1049677725,213
2014,218,1047786015,213
2014,429,1039065143,213
2014,469,1037990635,213
2014,922,1015136975,213
2014,233,917576026.4,213
2014,158,824467717.3,213
2014,112,796384727.3,213
2014,193,693146571,213
2014,578,663207482.6,213
2014,964,621160363.6,213
2014,199,523248391.6,213
2014,686,522653521.8,213
2014,566,478399711,213
2014,513,459907924.5,213
2014,248,456176282.7,213
2014,542,455708289.1,213
2014,128,325102636.4,213
2014,532,319166669.9,213
2014,132,319104909.1,213
2014,928,307516423.1,213
2014,186,295824430.9,213
2014,439,293957874.5,213
2014,243,271624348.1,213
2014,124,251988272.7,213
2014,466,243959880.8,213
2014,178,221735909.1,213
2014,744,212513688.2,213
2014,474,194672562.3,213
2014,528,170485454.5,213
2014,463,158478376.7,213
2014,576,153102420.1,213
2014,196,150035514.3,213
2014,174,147714636.4,213
2014,564,141409906.6,213
2014,913,138801363.6,213
2014,968,137207818.2,213
2014,436,124454545.5,213
2014,446,123131864.4,213
2014,672,122530890.3,213
2014,614,120965179.1,213
2014,122,114494181.8,213
2014,433,103967860.2,213
2014,694,101318697.7,213
2014,144,73296272.73,213
2014,182,70530363.64,213
2014,146,67699860.77,213
2014,722,67188914.55,213
2014,926,65473696.36,213
2014,283,62384351.82,213
2014,684,62300633.64,213
2014,238,58576653.15,213
2014,258,52184181.82,213
2014,443,50918098.99,213
2014,622,50079000.88,213
2014,652,49744158.16,213
2014,172,44231181.82,213
2014,688,44033732.45,213
2014,916,43706918.58,213
2014,278,39384772.25,213
2014,634,38999404.76,213
2014,961,38281272.73,213
2014,268,37703706.65,213
2014,449,34834086.77,213
2014,935,31777363.64,213
2014,142,30874374.64,213
2014,946,26759363.64,213
2014,253,23657420.91,213
2014,636,23352154.2,213
2014,960,22782727.27,213
2014,642,22162402.88,213
2014,927,20177735.41,213
2014,263,18879149.51,213
2014,453,18575424.76,213
2014,423,17928727.27,213
2014,522,17049515.42,213
2014,942,16395131.82,213
2014,646,15643204.55,213
2014,369,14152775.15,213
2014,313,13830069.47,213
2014,944,13297909.09,213
2014,674,12382871.74,213
2014,918,11960636.36,213
2014,941,11850000,213
2014,664,11136193.98,213
2014,692,11071918.72,213
2014,738,10498783.98,213
2014,366,10281323.54,213
2014,912,9988181.818,213
2014,921,9680818.182,213
2014,915,7981424.559,213
2014,662,7695483.457,213
2014,914,7256684.031,213
2014,911,6841033.636,213
2014,682,6187291.664,213
2014,732,5621818.182,213
2014,353,5584983.483,213
2014,361,5329613.709,213
2014,343,5155114.545,213
2014,678,4743094.271,213
2014,419,4508437.572,213
2014,962,4469133.477,213
2014,963,4458167.5,213
2014,546,4449541.921,213
2014,728,3844432,213
2014,936,3787909.091,213
2014,624,3673305.771,213
2014,939,3583909.091,213
2014,487,3572192.209,213
2014,668,3544691.333,213
2014,638,3456989.715,213
2014,724,3365588.756,213
2014,524,3098440.215,213
2014,746,2935104.987,213
2014,516,2894898.643,213
2014,518,2730411.987,213
2014,176,2382891.708,213
2014,558,2311087.021,213
2014,632,2182685.321,213
2014,137,1953545.455,213
2014,644,1791915.492,213
2014,698,1597098.578,213
2014,314,1396692.23,213
2014,316,1331552.998,213
2014,742,1319333.133,213
2014,676,1131618.838,213
2014,181,1122727.273,213
2014,943,1112269.086,213
2014,336,1092158.507,213
2014,611,1001843.247,213
2014,321,968443.3372,213
2014,628,966541.1344,213
2014,339,884428.4841,213
2014,748,867950.1752,213
2014,556,854129.5228,213
2014,656,760727.9861,213
2014,819,754492.5537,213
2014,648,696900.2142,213
2014,362,684175.7404,213
2014,643,681071.6478,213
2014,754,628507.2688,213
2014,718,562766.1087,213
2014,311,542893.4191,213
2014,948,373898.5309,213
2014,328,351993.8238,213
2014,364,282636.9527,213
2014,917,266700.4451,213
2014,654,239194.3287,213
2014,726,174773.4048,213
2014,512,173094.554,213
2014,853,154993.9846,213
2014,925,148107.8945,213
2014,813,135801.4287,213
2014,714,65896.46822,213
2014,923,44189.82785,213
2014,846,26442.42503,213
2014,514,14349.87817,213
2014,618,10427.31964,213
2014,862,4557.629458,213
