timeCode,partnerCountryCode,Value
2005,924,1193194200.0
2005,612,498371259.705
2005,922,251044733.5
2005,578,226181590.087
2005,453,199896660.495
2005,634,88242911.2057
2005,576,80603542.2765
2005,534,79065831.7978
2005,223,72699658.9
2005,134,69858800.0
2005,158,68708269.2612
2005,456,44360654.9418
2005,228,43131606.045
2005,138,38811520.0
2005,144,38151080.0
2005,518,31634532.6986
2005,258,26119170.0
2005,528,23104400.0
2005,548,19839537.0851
2005,156,19499653.2738
2005,136,13088460.0
2005,128,12115730.0
2005,513,11886985.8009
2005,124,11749650.0
2005,532,10814411.0345
2005,184,10429980.0
2005,132,8426990.0
2005,268,8155912.02027
2005,199,8037181.53917
2005,536,7265714.5
2005,111,6270000.0
2005,913,6257790.0
2005,936,5381530.0
2005,564,4768788.603
2005,964,4458630.0
2005,146,3967750.14523
2005,918,3295435.10654
2005,646,3034635.44342
2005,172,2647590.0
2005,522,2216341.13715
2005,233,2199808.6
2005,122,2143130.0
2005,961,1419110.0
2005,174,1377310.0
2005,186,1267303.4
2005,644,1241218.45086
2005,293,1058800.36885
2005,182,1012330.0
2005,288,756582.2
2005,917,751410.0
2005,962,610758.367302
2005,253,583238.535
2005,112,571010.0
2005,369,513381.59534
2005,248,470377.6
2005,698,451097.467867
2005,218,423529.107611
2005,935,411085.002312
2005,968,408870.0
2005,193,363523.265613
2005,336,320171.734526
2005,638,314904.688472
2005,178,310860.0
2005,722,258872.1466
2005,926,250323.293
2005,925,232222.710134
2005,944,201190.0
2005,738,132558.708713
2005,566,130114.6
2005,142,104685.508815
2005,652,101081.215827
2005,298,93175.5
2005,960,74278.6
2005,238,73969.742
2005,516,70106.2048874
2005,819,58409.4223267
2005,915,52859.2013261
2005,664,43941.9926326
2005,546,35141.958039
2005,744,25344.9631323
2005,674,23734.3219488
2005,343,22781.0
2005,656,14233.987056
2005,684,13747.6909481
2005,446,11053.977
2005,366,10743.2214765
2005,299,3300.0
2005,362,2225.01039282
2005,948,1980.0
2005,137,770.0
2005,316,346.5
2006,924,1355025100.0
2006,612,691513760.372
2006,578,226139926.551
2006,922,209282712.1
2006,453,155689666.181
2006,634,109061676.163
2006,534,102041168.601
2006,199,87843328.1553
2006,223,70889306.4
2006,576,66030636.0195
2006,134,65368380.0
2006,456,55769573.8422
2006,158,48267129.458
2006,518,39097929.9482
2006,268,29164383.8741
2006,228,27734932.577
2006,144,26673240.0
2006,293,25363036.9736
2006,528,24684000.0
2006,138,24197580.0
2006,513,21706621.3319
2006,156,16837512.1513
2006,536,14687864.4
2006,124,14146000.0
2006,136,12744930.0
2006,532,8438244.76353
2006,548,8201136.89395
2006,184,7601660.0
2006,299,5981800.0
2006,564,5893868.08758
2006,128,5478440.0
2006,132,4277570.0
2006,233,4161782.9
2006,646,3750583.74074
2006,522,3519295.6523
2006,964,3459500.0
2006,146,3173062.21139
2006,122,2651770.0
2006,915,2620896.81705
2006,644,2371572.71861
2006,913,1574320.0
2006,935,1557380.0
2006,174,1513600.0
2006,186,1321294.7
2006,664,1254512.6
2006,918,1180960.0
2006,722,872266.77655
2006,961,740960.0
2006,112,682440.0
2006,936,649330.0
2006,926,645150.0
2006,369,634501.474782
2006,968,603680.0
2006,238,493020.77
2006,698,490665.092894
2006,917,451110.0
2006,336,395708.454654
2006,638,389198.77741
2006,925,287010.000739
2006,172,270820.0
2006,962,260577.7261
2006,288,167620.2
2006,738,163832.706387
2006,960,146813.7
2006,566,125670.6
2006,652,124928.865968
2006,298,115157.989106
2006,944,109780.0
2006,516,86646.0558699
2006,819,72189.7024432
2006,939,49390.0
2006,218,42680.0
2006,182,36850.0
2006,343,31986.9
2006,137,24640.0
2006,366,17695.8177677
2006,656,17592.1495064
2006,754,12403.3253474
2006,258,11000.0
2006,916,6009.3
2006,744,5407.33645123
2006,362,2749.94738508
2006,316,913.0
2007,924,1531697200.0
2007,612,881474232.972
2007,534,730683968.783
2007,578,197409318.528
2007,199,150376561.515
2007,922,138734368.3
2007,634,135344798.623
2007,223,135118417.5
2007,456,67279370.216
2007,576,60132638.3233
2007,518,48520265.2444
2007,134,33888250.0
2007,228,32342589.07
2007,142,30274387.1373
2007,513,30079068.4406
2007,528,23835900.0
2007,156,20670037.64
2007,138,17448970.0
2007,532,17082406.0247
2007,293,16676013.2
2007,136,10453190.0
2007,158,10242976.6007
2007,548,8863871.19947
2007,564,7314250.2251
2007,128,7019430.0
2007,299,6972900.0
2007,522,6345593.15611
2007,646,4654448.92256
2007,132,3559160.0
2007,146,3133360.92677
2007,944,2880350.0
2007,124,2866600.0
2007,644,2550096.64341
2007,238,2291163.71
2007,122,2276230.0
2007,184,2212210.0
2007,111,1870000.0
2007,913,1815990.0
2007,664,1621196.5
2007,926,1523390.0
2007,233,1442216.6
2007,144,1297120.0
2007,722,1203745.4
2007,174,1088890.0
2007,186,1072282.2
2007,961,936430.0
2007,915,933891.846421
2007,243,923181.1875
2007,369,787412.016318
2007,258,758780.0
2007,916,729955.6
2007,968,722370.0
2007,112,631620.0
2007,698,608912.044318
2007,964,566280.0
2007,336,491071.50186
2007,638,482993.036658
2007,536,470389.7
2007,662,385041.883544
2007,925,356177.459576
2007,744,274256.92787
2007,172,209660.0
2007,738,203315.274751
2007,248,184207.1
2007,253,169161.069
2007,343,164420.3
2007,918,162360.0
2007,288,160145.7
2007,652,155035.873292
2007,298,142910.281538
2007,453,128424.011813
2007,935,112420.0
2007,516,107527.16624
2007,917,98780.0
2007,819,89586.9299244
2007,960,79200.0
2007,524,67361.998
2007,366,60192.6411658
2007,674,45140.5375309
2007,137,23760.0
2007,754,22305.6043924
2007,948,22220.0
2007,656,21831.7379309
2007,268,19635.429
2007,446,15770.557
2007,746,9570.0
2007,362,3412.66600837
2007,936,2200.0
2007,566,1540.0
2007,218,1390.4
2007,316,1133.02679264
2007,469,759.0
2008,924,2236557400.0
2008,612,1647700681.23
2008,534,1152856691.8
2008,223,225168817.5
2008,293,197056027.3
2008,199,160563619.597
2008,634,154518551.297
2008,576,132041767.61
2008,922,106705606.7
2008,456,88435382.3813
2008,513,72710427.2345
2008,111,57420000.0
2008,518,55393935.8615
2008,578,50753110.6309
2008,136,40900970.0
2008,134,34568820.0
2008,238,34526416.265
2008,453,30056786.9038
2008,184,29048030.0
2008,156,23330554.1575
2008,138,21686940.0
2008,548,18995689.0026
2008,528,17319500.0
2008,258,10588270.0
2008,268,10515780.264
2008,532,9463843.17745
2008,228,8877708.89607
2008,158,8433406.28188
2008,564,8350430.60468
2008,536,7652515.2
2008,132,7229090.0
2008,124,5661920.0
2008,646,5313825.96093
2008,128,5285940.0
2008,964,5194420.0
2008,146,4284964.2962
2008,122,3190880.0
2008,926,2368080.0
2008,936,2005960.0
2008,935,1451560.0
2008,913,1198670.0
2008,243,989649.99375
2008,522,980976.905649
2008,233,908714.4
2008,369,898961.506264
2008,144,867460.0
2008,174,737440.0
2008,698,695174.161937
2008,469,635926.5
2008,336,560639.624297
2008,638,551416.715457
2008,961,543400.0
2008,968,451770.0
2008,112,415360.0
2008,925,406635.686176
2008,944,345400.0
2008,644,315150.459778
2008,186,309470.7
2008,722,303179.8
2008,248,261740.6
2008,738,232118.131104
2008,343,224598.0
2008,172,185570.0
2008,652,176999.181231
2008,746,163665.81
2008,298,163155.805715
2008,744,136642.323326
2008,918,131340.0
2008,516,122760.106938
2008,524,109078.827
2008,819,102278.349577
2008,742,102064.45644
2008,664,101669.7
2008,915,100488.731312
2008,253,74717.885
2008,366,54147.2495446
2008,948,42020.0
2008,218,37899.4
2008,960,31900.0
2008,656,24924.5523411
2008,674,21531.6249156
2008,662,18331.8416797
2008,962,13817.2088103
2008,362,3896.12466115
2008,316,1293.53813638
2009,924,2079793100.0
2009,612,1612071075.25
2009,534,346891013.7
2009,223,153863221.6
2009,634,135183088.014
2009,453,130290197.216
2009,199,107515937.887
2009,456,61593156.1392
2009,576,60910112.9414
2009,518,48462293.0007
2009,922,45957599.6
