timeCode,partnerCountryCode,Value,
2014,134,19065195000,936
2014,935,11121882100,936
2014,964,7213472700,936
2014,944,5431864300,936
2014,122,5311409500,936
2014,112,4446630800,936
2014,132,4263510300,936
2014,136,3945683900,936
2014,138,2183868200,936
2014,184,1852599700,936
2014,968,1786557300,936
2014,922,1762539100,936
2014,146,1366525900,936
2014,124,1308500700,936
2014,144,1253339000,936
2014,186,1020241100,936
2014,111,799000900,936
2014,128,719907300,936
2014,961,637634000,936
2014,918,473135600,936
2014,924,472123400,936
2014,926,418512100,936
2014,960,398367100,936
2014,942,383399200,936
2014,469,268209300,936
2014,182,253237200,936
2014,174,250589600,936
2014,142,221731100,936
2014,172,217500600,936
2014,941,208538200,936
2014,946,204709300,936
2014,137,169753200,936
2014,178,135402800,936
2014,913,130451300,936
2014,436,124087300,936
2014,466,112940500,936
2014,963,101407100,936
2014,273,100705900,936
2014,542,92427500,936
2014,916,89718500,936
2014,223,88330900,936
2014,686,85741200,936
2014,939,85020100,936
2014,423,76550100,936
2014,744,74271900,936
2014,456,70310600,936
2014,158,57093900,936
2014,962,55925900,936
2014,193,52849600,936
2014,914,52145000,936
2014,199,51889400,936
2014,532,50745800,936
2014,943,48403300,936
2014,156,47562900,936
2014,612,46627900,936
2014,912,39194800,936
2014,534,38161500,936
2014,528,35508900,936
2014,564,34511800,936
2014,921,29396100,936
2014,446,28450400,936
2014,582,28121700,936
2014,576,28045600,936
2014,548,20635300,936
2014,927,20325100,936
2014,915,19387900,936
2014,578,18263200,936
2014,181,17155900,936
2014,213,16609200,936
2014,429,15876400,936
2014,967,13439200,936
2014,233,13432100,936
2014,443,12060100,936
2014,694,10911100,936
2014,228,10390000,936
2014,299,10283600,936
2014,453,9947000,936
2014,634,9933900,936
2014,433,9816900,936
2014,566,9738300,936
2014,439,9176800,936
2014,513,8408900,936
2014,928,7415200,936
2014,449,6595300,936
2014,536,6127900,936
2014,911,6017200,936
2014,196,5967400,936
2014,664,5265600,936
2014,948,4749500,936
2014,628,4376700,936
2014,293,4150600,936
2014,746,3978000,936
2014,258,3859000,936
2014,638,3778600,936
2014,176,3752600,936
2014,692,3558600,936
2014,544,3390800,936
2014,644,3165700,936
2014,524,2977500,936
2014,925,2959400,936
2014,283,2928700,936
2014,343,2857300,936
2014,288,2832600,936
2014,732,2402900,936
2014,248,2320500,936
2014,672,1974800,936
2014,674,1888200,936
2014,512,1869500,936
2014,614,1829000,936
2014,917,1749200,936
2014,369,1674000,936
2014,622,1656500,936
2014,742,1551000,936
2014,474,1505000,936
2014,238,1336300,936
2014,419,1182300,936
2014,678,1151400,936
2014,218,1141200,936
2014,662,1132400,936
2014,823,1097300,936
2014,298,1087300,936
2014,616,1074000,936
2014,652,989100,936
2014,676,879100,936
2014,726,839600,936
2014,646,806800,936
2014,636,802700,936
2014,923,782800,936
2014,722,767400,936
2014,243,761800,936
2014,263,750800,936
2014,728,724200,936
2014,278,678300,936
2014,518,655600,936
2014,642,649700,936
2014,734,608900,936
2014,754,562100,936
2014,463,559000,936
2014,522,538000,936
2014,626,433400,936
2014,684,390000,936
2014,839,315900,936
2014,316,315100,936
2014,682,299700,936
2014,738,289900,936
2014,816,286500,936
2014,366,249000,936
2014,688,245700,936
2014,546,192300,936
2014,336,166300,936
2014,514,141900,936
2014,253,120900,936
2014,724,119300,936
2014,748,98800,936
2014,656,97200,936
2014,268,91200,936
2014,668,76500,936
2014,314,70700,936
2014,887,68400,936
2014,714,62200,936
2014,718,61300,936
2014,698,45900,936
2014,643,43200,936
2014,558,38700,936
2014,361,35200,936
2014,556,33200,936
2014,624,28200,936
2014,311,10700,936
2014,611,8600,936
2014,853,8300,936
2014,632,5000,936
2014,618,4000,936
2014,323,3800,936
2014,339,2600,936
2014,648,2400,936
2014,364,1000,936
2014,836,800,936
2014,362,800,936
2014,565,400,936
2014,326,200,936
