timeCode,partnerCountryCode,Value,
2014,111,2116889202,628
2014,158,278976925.6,628
2014,528,124648181.8,628
2014,924,98493672.73,628
2014,513,18161320.22,628
2014,622,17764620.52,628
2014,186,15290903.64,628
2014,626,14027877.27,628
2014,534,13441166.36,628
2014,132,6661818.182,628
2014,536,5604748.182,628
2014,182,4341636.364,628
2014,134,4200181.818,628
2014,436,1545454.545,628
2014,694,1461931.39,628
2014,469,1063183.636,628
2014,184,633090.9091,628
2014,578,527784.8763,628
2014,243,466070.5514,628
2014,112,309818.1818,628
2014,178,268090.9091,628
2014,652,259184.7907,628
2014,156,244906.7522,628
2014,138,239181.8182,628
2014,612,198690.5528,628
2014,136,172909.0909,628
2014,199,158847.3868,628
2014,124,157636.3636,628
2014,122,157181.8182,628
2014,961,126363.6364,628
2014,193,100445.826,628
2014,634,86306.348,628
2014,674,81241.78131,628
2014,962,81164.04478,628
2014,213,61322.52592,628
2014,233,47415.45455,628
2014,646,29499.98705,628
2014,128,23454.54545,628
2014,686,23374.54545,628
2014,248,22349.09091,628
2014,656,22251.60195,628
2014,146,19508.49111,628
2014,692,18366.01203,628
2014,548,15774.54545,628
2014,564,12631.95219,628
2014,223,11159,628
2014,142,10754.23,628
2014,944,10727.27273,628
2014,456,9733.956953,628
2014,664,9133.002761,628
2014,566,6694,628
2014,662,5660.591963,628
2014,361,5407.961131,628
2014,638,3605.982385,628
2014,964,3272.727273,628
2014,443,2890.874008,628
2014,722,1900,628
2014,446,1400.827273,628
2014,935,1090.909091,628
2014,316,557.8950247,628
2014,144,545.4545455,628
2014,218,525.4545455,628
2014,936,454.5454545,628
2014,449,236.4345667,628
2014,542,227.2727273,628
2014,172,181.8181818,628
2014,293,125,628
2014,196,77.47709287,628
2014,926,56.36363636,628
2014,684,50.90909091,628
2014,353,1.19E-12,628
